id,province,population,x_coord,y_coord,latitude,longitude,name
25118,2,3095,193530.063333333,159936.141111111,50.7494643111111,4.98462678888889,HELECINE-NEERHEYLISSEM
25119,2,15249,156904.368546099,152478.134326241,50.6886346340426,4.48573637446809,LASNE
25120,2,7989,192014.604545455,153930.661590909,50.68955515,4.97281395909091,ORP
25121,2,31879,165020.977602339,151011.032865497,50.6659096175439,4.57305685964912,OTTIGNIES
25122,2,5820,186710.47703125,149706.86796875,50.658101653125,4.8817863125,RAMILLIES
25123,2,10886,133887.592083333,151450.047083333,50.6756882291667,4.13759158333333,REBECQ
25124,2,6195,173086.637833333,146677.236833333,50.634129525,4.699909795,WALHAIN
31003,3,16324,77952.109047619,204815.194761905,51.1520519904762,3.34559021904762,BEERNEM
31004,3,19247,63960.6394117647,222799.392941176,51.3075702588235,3.13813223529412,BLANKENBERGE
31005,3,129083,69778.4460734463,212973.689025424,51.2176015169492,3.22007974830508,BRUGGE
31006,3,12049,77161.5572727273,215653.158636364,51.2386657181818,3.31733291818182,DAMME
31012,3,15416,61646.93,209043.426923077,51.1818156576923,3.10732228846154,JABBEKE
31022,3,24083,70505.996875,202724.7775,51.131417725,3.22897529375,OOSTKAMP
31033,3,21097,60862.5853125,196301.6971875,51.06759099375,3.09304265,TORHOUT
31040,3,24856,64392.9507142857,203055.423928571,51.1357901357143,3.14693942857143,ZEDELGEM
31042,3,3168,63414.984,217106.298,51.25582744,3.12815593,ZUIENKERKE
31043,3,35236,74222.9243243243,225824.025405405,51.3376790432432,3.27222110540541,KNOKKE
32003,3,16583,43891.3747727273,193516.836136364,51.0427636590909,2.85258585227273,DIKSMUIDE
32006,3,9354,47664.7931578947,186124.706842105,50.9763437421053,2.91021055789474,HOUTHULST
32010,3,8866,51571.9105263158,198506.899473684,51.0876689421053,2.96999281578947,KOEKELARE
32011,3,13201,54684.78,191521.658518519,51.0259515925926,3.00887954444444,KORTEMARK
32030,3,3182,38217.565,184815.467142857,50.9617196571429,2.77435782142857,LO
33011,3,37795,44995.3571666667,172638.840833333,50.853832865,2.86942855666667,IEPER
33016,3,1004,45700.21,162124.45,50.7638555,2.8976699,MESEN
33021,3,20554,32428.2594736842,173385.232368421,50.8641627315789,2.69834700789474,POPERINGE
33029,3,19085,57288.5721428571,166036.914047619,50.7927543666667,3.05549953333333,WERVIK
33037,3,12296,53653.7408,173560.4504,50.866404292,3.001817784,ZONNEBEKE
33039,3,8881,40430.3544,164047.2,50.779336028,2.806396244,HEUVELLAND-KEMMEL
33040,3,8033,48786.4241176471,179840.626176471,50.8921818470588,2.96395109411765,LANGEMARK
33041,3,3766,36640.9577777778,179452.621111111,50.9170302,2.75563458888889,VLETEREN-OOSTVLETEREN
34002,3,15331,84907.62234375,169439.49453125,50.82731015,3.4495885875,ANZEGEM
34003,3,9858,85466.7826,163290.7904,50.854228896,3.639591368,AVELGEM
34009,3,12773,79516.9634375,171021.725,50.85374,3.35335,DEERLIJK
34013,3,29379,75348.32,172710.7353125,50.8646800875,3.308443375,HARELBEKE
34022,3,80747,71876.0933628319,167663.596504425,50.8290024584071,3.26440600884956,KORTRIJK
34023,3,14319,73106.1616666667,172737.185666667,50.85397,3.287,KUURNE
34025,3,5967,70574.0535,175632.047,50.8862994,3.2381931,LENDELEDE
34027,3,34385,64060.6446153846,165186.095,50.7927687673077,3.14712542692308,MENEN
34040,3,40340,82021.12125,175252.001041667,50.89031558125,3.40128233541667,WAREGEM
34041,3,34768,66273.3132608696,169171.368804348,50.8250722434783,3.18274211956522,WEVELGEM
34042,3,25659,79503.5734210526,165200.375263158,50.7911849578947,3.37042700789474,ZWEVEGEM
34043,3,2019,78829.822,158003.686,50.72396996,3.36568052,SPIERE
35002,3,16291,52051.7088888889,214854.898333333,51.2345015,2.9728359,BREDENE
35005,3,11999,51220.9652,205701.0298,51.156642696,2.982255432,GISTEL
35006,3,14770,56085.0563461538,200936.818269231,51.1121024846154,3.01975090769231,ICHTEGEM
35011,3,17902,41470.1066666667,207107.594111111,51.1651815244444,2.82039786,MIDDELKERKE
35013,3,71377,48590.9179710145,212744.856666667,51.2080709275362,2.90244614492754,OOSTENDE
35014,3,9746,55105.9316,208749.4564,51.17468924,3.016719992,OUDENBURG
35029,3,12435,57959.4976190476,219209.802380952,51.267571,3.06177494285714,DE HAAN-KLEMSKERKE
36006,3,10806,60146.4805882353,187389.225882353,50.9872735470588,3.09020392941176,HOOGLEDE
36007,3,11611,72003.9275,179244.0025,50.92325,3.26284,INGELMUNSTER
36008,3,29531,68182.1364705882,179193.702647059,50.9192964911765,3.21138250294118,IZEGEM
36010,3,10250,64515.118,173814.544666667,50.8666833133333,3.15540945333333,LEDEGEM
36011,3,9084,63768.8286666667,191710.186666667,51.0277074,3.1439095,LICHTERVELDE
36012,3,11596,59550.2173333333,174581.488,50.8779782333333,3.0736431,MOORSLEDE
36015,3,60425,63211.7196621622,181886.279527027,50.9434012608108,3.13876456621622,ROESELARE
36019,3,11488,55400.666,183653.436,50.95641829,3.02902869,STADEN
37002,3,8487,83024.5695,182052.9885,50.94161737,3.41321853,DENTERGEM
37007,3,11983,74157.1352631579,183018.767368421,50.9506,3.28637,MEULEBEKE
37010,3,8179,77868.9454545455,180658.407272727,50.9202012,3.3346008,OOSTROZEBEKE
37011,3,7191,72313.904,188594.512,51.00250462,3.26361446,PITTEM
37012,3,5341,80773.882,194511.051,51.0413098,3.3970513,RUISELEDE
37015,3,21067,78466.1403448276,188339.975862069,50.9619028103448,4.4372662862069,TIELT
37017,3,9892,79372.2166666667,178215.536818182,50.9048147454545,3.36685494545455,WIELSBEKE
37018,3,13676,72281.005,195019.082916667,51.0504070875,3.2344213875,WINGENE
37020,3,10136,68188.6830769231,185908.502307692,50.9806377846154,3.20106973846154,ARDOOIE
38002,3,4913,30987.3375,186461.2235,50.97894048,2.67204473,ALVERINGEM
38008,3,10177,25484.9468421053,198811.466842105,51.087373,2.59597279473684,DE PANNE
38014,3,21407,31009.3922580645,201883.673548387,51.1095540032258,2.67107771935484,KOKSIJDE
38016,3,11025,36853.81625,203929.88,51.1490161833333,2.7691416625,NIEUWPOORT
38025,3,12462,31350.5005882353,195636.796470588,51.0597548058823,2.67510858823529,VEURNE
41002,4,86481,128207.177125984,181656.376141732,50.9428475417323,4.05788012834646,AALST
41011,4,19658,128333.487045455,175371.788636364,50.8822507136364,4.06172090909091,DENDERLEEUW
41018,4,34442,116884.165243902,163280.151463415,50.7797461219512,3.8977996695122,GERAARDSBERGEN
41024,4,19442,123854.124736842,175255.103157895,50.8928346157895,4.02232748157895,HAALTERT
41027,4,18506,116208.127317073,173763.747195122,50.873867897561,3.88747023658537,HERZELE
41034,4,19373,120835.599736842,184078.538421053,50.9640938184211,3.95310353684211,LEDE
41048,4,39686,124487.935316456,168825.287151899,50.8270294240506,4.00685367974684,NINOVE
41063,4,10150,115599.4495,180209.3845,50.9281444433333,3.87695582666667,SINT
41081,4,27390,110851.84325,173376.43975,50.871073015,3.810389245,ZOTTEGEM
41082,4,21389,120959.619528302,179452.618867925,50.9234240735849,3.95514536226415,ERPE - MERE-MERE
42003,4,15660,122568.027692308,192048.6625,51.0539433038462,3.99488903846154,BERLARE
42004,4,15728,137920.128787879,189449.166060606,51.0136764,4.2011261,BUGGENHOUT
42006,4,48359,130935.180403226,190869.199919355,51.0270769741935,4.09951408387097,DENDERMONDE
42008,4,25280,133678.454333333,196983.0025,51.0839212133333,4.14439191333333,HAMME
42010,4,13210,115898.5815,192379.3915,51.03438955,3.88597895,LAARNE
42011,4,19596,132802.062954545,187217.072727273,50.9976468454545,4.11601398181818,LEBBEKE
42023,4,11646,129836.956666667,200796.357333333,51.1094611,4.0844742,WAASMUNSTER
42025,4,25892,115386.66047619,187550.282261905,50.9981815571429,3.88601201428571,WETTEREN
42026,4,12624,120524.427647059,187997.171764706,51.0046888941176,3.94041428235294,WICHELEN
42028,4,22773,126565.492272727,195390.453636364,51.1023413,3.9940663,ZELE
43002,4,14985,103924.464901961,213837.040588235,51.2311090705882,3.71436938823529,ASSENEDE
43005,4,21327,93138.1223809524,209072.882857143,51.2046849,3.4868397,EEKLO 
43007,4,6806,98150.74375,211108.54,51.2066899,3.6252572,KAPRIJKE
43010,4,24550,86126.8485135135,211366.21472973,51.2050524054054,3.48332214324324,MALDEGEM
43014,4,7004,94194.4046666667,217020.976,51.2687639866667,3.56912622666667,SINT-LAUREINS
43018,4,13379,110780.50125,210115.9353125,51.1987114,3.8119772,ZELZATE
44001,4,20764,85327.9755769231,197657.3775,51.0809487923077,3.45586583076923,AALTER
44011,4,31007,90893.227755102,186746.587755102,50.9913404816327,3.53021639183673,DEINZE
44012,4,11372,100834.495,186179.108125,50.98157445,3.6824476,DE PINTE
44013,4,19337,110452.959,192636.9902,51.04630278,3.800848876,DESTELBERGEN
44019,4,35056,104561.348939394,203752.306919192,51.1389861090909,3.71619817272727,EVERGEM
44020,4,13479,101496.708392857,180023.184642857,50.921140075,3.666745225,GAVERE
44021,4,251463,104032.040414508,194183.700595855,51.050978484456,3.72126410777202,GENT
44029,4,8915,85589.2357142857,203280.188571429,51.1389344142857,3.41277175714286,KNESSELARE
44034,4,21642,114380.6727,198905.6351,51.0998049,3.863398716,LOCHRISTI
44036,4,10841,98198.51,198637.468181818,51.0922852818182,3.61860521818182,LOVENDEGEM
44040,4,11470,109885.306071429,187836.857142857,50.9993387285714,3.79966655,MELLE
44043,4,24384,105982.441785714,185534.493928571,50.9834308357143,3.70726650357143,MERELBEKE
44045,4,6523,120888.353333333,208890.555833333,51.1734692,3.9342837,MOERBEKE
44048,4,12182,97507.9823529412,183198.254705882,50.9499533941176,3.63606598823529,NAZARETH
44049,4,11871,93003.187962963,194298.487592593,51.0526475333333,3.55414694814815,NEVELE
44052,4,14670,109714.994807692,181365.515384615,50.9416152807692,3.79582495769231,OOSTERZELE
44064,4,9315,97501.9933333333,189281.116333333,51.00907072,3.62158326,SINT-MARTENS-LATEM
44072,4,8769,96946.2583333333,204508.130333333,51.1514819,3.6060488,WAARSCHOOT
44073,4,7746,115025.415384615,207862.160769231,51.17095,3.86055,WACHTEBEKE
44080,4,8897,93353.9430769231,202204.497692308,51.1268390615385,3.55547008461538,ZOMERGEM
44081,4,16100,86859.1190476191,180994.790952381,50.9383049238095,3.46480478095238,ZULTE
45017,4,8542,90819.7157142857,177506.032380952,50.8996273285714,3.52897187142857,KRUISHOUTEM
45035,4,30708,96897.9726785714,171516.72375,50.8670017267857,3.56625518571429,OUDENAARDE
45041,4,24984,96552.3957894737,160152.343684211,50.7505367,3.6005095,RONSE
45057,4,7244,97610.6533333333,177773.431666667,50.8984487333333,3.62428904166667,ZINGEM
45059,4,14893,107019.592285714,166487.512285714,50.8088083685714,3.76539539428571,BRAKEL-NEDERBRAKEL
45060,4,6454,89819.1111111111,163762.383333333,50.8061825055556,3.51540862222222,KLUISBERGEN-RUIEN 
45061,4,6591,91221.6723529412,171104.139411765,50.8302653705882,3.53211275882353,WORTEGEM-PETEGEM-PETEGEM-AAN-DE-SCHELDE 
45062,4,2100,102348.994285714,169406.882857143,50.8387574285714,3.69351931428571,HOREBEKE
45063,4,7050,112907.195789474,166475.167368421,50.8071444315789,3.83856895789474,LIERDE
45064,4,6819,98348.1455555556,165184.636111111,50.8022757722222,3.60269307777778,MAARKEDAL-ETIKHOVE
45065,4,8589,104510.613709677,174558.329354839,50.8820209806452,3.71647206451613,ZWALM-MUNKZWALM
